Purchase ID,Customer Name,Age,Gender,City,Car Brand,Car Model,Fuel Type,Transmission,Purchase Date,Price,Loan Taken,Down Payment ,Loan Provider,Annual Income,Previous Car Owned,Customer Satisfaction Score
PUR100016,Laura,64,Female,Other,Volkswagen,Golf,Hybrid,Automatic,1/20/2024,"€ 8,000.00",Yes,"€ 11,694.00",Volksbank,"€ 26,757.00",Yes,4
PUR100017,Laura,57,Female,Munich,BMW,Golf,Petrol,Automatic,8/4/2024,"€ 29,113.15",Yes,"€ 8,256.00",Deutsche Bank,"€ 104,011.00",Yes,3
PUR100018,Laura,72,Female,Munich,Audi,A3,Electric,Automatic,2/12/2024,"€ 30,456.07",No,"€ 3,796.00",Deutsche Bank,"€ 34,529.00",Yes,3
PUR100019,Lukas,67,Female,Frankfurt,BMW,C-Class,Diesel,Automatic,4/1/2024,"€ 10,462.44",Yes,"€ 14,260.00",Deutsche Bank,"€ 116,259.00",Yes,4
PUR100020,Hans,43,Male,Berlin,Audi,X5,Diesel,Manual,12/18/2021,"€ 25,685.27",Yes,"€ 6,751.00",Volksbank,"€ 23,206.00",No,3
PUR100021,Julia,60,Male,Munich,Volkswagen,Octavia,Petrol,Automatic,6/13/2023,"€ 23,398.29",Yes,"€ 10,722.00",Commerzbank,"€ 81,850.00",No,3
PUR100022,Tim,55,Male,Hamburg,Volkswagen,X5,Petrol,Manual,9/22/2024,"€ 39,912.17",Yes,"€ 5,943.00",Commerzbank,"€ 65,762.00",No,3
PUR100023,Tim,72,Male,Munich,Audi,911,Petrol,Manual,10/18/2023,"€ 40,630.48",Yes,"€ 4,209.00",Volksbank,"€ 31,125.00",Yes,3
PUR100024,Lukas,39,Female,Munich,BMW,C-Class,Petrol,Manual,2/20/2024,"€ 19,897.63",Yes,"€ 4,423.00",None,"€ 45,093.00",No,5
PUR100025,Felix,54,Female,Berlin,Volkswagen,Golf,Petrol,Manual,6/3/2021,"€ 35,063.84",Yes,"€ 10,401.00",Commerzbank,"€ 114,013.00",No,4
PUR100026,Hans,26,Female,Berlin,Volkswagen,Passat,Petrol,Automatic,3/25/2024,"€ 20,191.68",Yes,"€ 9,224.00",Commerzbank,"€ 67,540.00",Yes,2
PUR100027,Felix,50,Male,Munich,Audi,911,Petrol,Manual,11/24/2022,"€ 28,191.25",Yes,"€ 5,865.00",Deutsche Bank,"€ 37,124.00",No,3
PUR100028,Tim,59,Female,Frankfurt,BMW,X5,Petrol,Automatic,10/23/2023,"€ 33,908.21",No,"€ 8,662.00",Deutsche Bank,"€ 38,248.00",No,4
PUR100029,Lukas,23,Female,Munich,Mercedes,911,Diesel,Automatic,4/6/2024,"€ 29,562.45",Yes,"€ 3,724.00",Commerzbank,"€ 70,725.00",No,4
PUR100030,Lukas,61,Female,Munich,Mercedes,X5,Petrol,Automatic,11/10/2023,"€ 20,991.86",No,"€ 1,896.00",Commerzbank,"€ 111,299.00",No,3
PUR100031,Tim,47,Male,Munich,Volkswagen,A3,Diesel,Manual,4/3/2024,"€ 31,861.32",No,"€ 4,919.00",Volksbank,"€ 99,200.00",Yes,5
PUR100032,Laura,47,Female,Other,BMW,C-Class,Petrol,Automatic,3/2/2024,"€ 35,051.54",No,"€ 3,612.00",Commerzbank,"€ 26,929.00",No,3
PUR100033,Felix,61,Male,Cologne,Mercedes,Passat,Diesel,Manual,7/7/2024,"€ 8,000.00",Yes,"€ 8,556.00",Volksbank,"€ 108,776.00",Yes,4
PUR100034,Laura,33,Male,Hamburg,Volkswagen,Golf,Diesel,Manual,9/20/2022,"€ 27,161.79",Yes,"€ 3,442.00",None,"€ 69,679.00",No,4
PUR100035,Tim,60,Female,Frankfurt,Audi,Insignia,Petrol,Automatic,10/8/2021,"€ 18,028.86",Yes,"€ 14,246.00",Deutsche Bank,"€ 105,424.00",No,4
PUR100037,Hans,26,Female,Berlin,Volkswagen,A3,Diesel,Manual,7/8/2021,"€ 12,071.87",Yes,"€ 6,696.00",Deutsche Bank,"€ 45,413.00",Yes,3
PUR100038,Julia,52,Female,Berlin,Volkswagen,911,Electric,Manual,9/14/2022,"€ 29,053.23",Yes,"€ 2,831.00",Deutsche Bank,"€ 61,677.00",Yes,3
PUR100039,Lukas,20,Male,Hamburg,Volkswagen,Insignia,Petrol,Automatic,7/12/2023,"€ 32,209.92",Yes,"€ 12,673.00",Volksbank,"€ 118,863.00",No,5
PUR100040,Laura,28,Male,Berlin,Volkswagen,Octavia,Electric,Manual,10/5/2021,"€ 22,719.65",Yes,"€ 6,128.00",Deutsche Bank,"€ 61,926.00",Yes,5
PUR100041,Hans,61,Female,Berlin,Audi,A3,Petrol,Automatic,10/22/2021,"€ 30,623.94",Yes,"€ 14,161.00",Volksbank,"€ 51,518.00",Yes,1
PUR100042,Hans,25,Female,Frankfurt,BMW,Golf,Petrol,Manual,10/25/2023,"€ 28,510.31",Yes,"€ 13,970.00",Commerzbank,"€ 61,533.00",No,3
PUR100043,Tim,63,Male,Stuttgart,BMW,A3,Diesel,Manual,4/17/2023,"€ 23,185.67",Yes,"€ 6,667.00",Commerzbank,"€ 75,665.00",Yes,4
PUR100044,Anna,59,Male,Munich,BMW,Passat,Diesel,Manual,11/24/2021,"€ 25,960.40",Yes,"€ 9,610.00",Volksbank,"€ 73,182.00",Yes,4
PUR100045,Tim,62,Male,Other,Skoda,Insignia,Petrol,Automatic,8/2/2023,"€ 42,190.48",Yes,"€ 8,129.00",Volksbank,"€ 34,406.00",No,3
PUR100046,Lukas,24,Female,Berlin,Volkswagen,A3,Petrol,Manual,7/20/2021,"€ 38,240.28",No,"€ 2,367.00",Deutsche Bank,"€ 45,179.00",Yes,5
PUR100047,Tim,69,Male,Hamburg,Porsche,Passat,Diesel,Automatic,9/18/2022,"€ 27,601.73",Yes,"€ 14,782.00",Deutsche Bank,"€ 21,470.00",Yes,3
PUR100048,Laura,68,Male,Berlin,BMW,Insignia,Diesel,Automatic,3/5/2021,"€ 26,254.63",Yes,"€ 6,611.00",Deutsche Bank,"€ 99,760.00",Yes,4
PUR100049,Tim,65,Male,Berlin,Mercedes,X5,Petrol,Automatic,7/29/2022,"€ 31,904.27",No,"€ 1,662.00",Commerzbank,"€ 74,615.00",Yes,5
PUR100050,Felix,37,Male,Frankfurt,Mercedes,911,Petrol,Manual,1/20/2021,"€ 40,712.30",No,"€ 8,346.00",Deutsche Bank,"€ 49,552.00",Yes,4
PUR100051,Anna,44,Male,Frankfurt,Volkswagen,Golf,Diesel,Automatic,11/25/2023,"€ 15,288.53",Yes,"€ 6,136.00",Deutsche Bank,"€ 110,143.00",No,2
PUR100053,Tim,54,Male,Berlin,Mercedes,C-Class,Diesel,Manual,8/2/2023,"€ 43,578.14",No,"€ 4,003.00",Commerzbank,"€ 93,589.00",No,4
PUR100054,Felix,57,Male,Frankfurt,Mercedes,Passat,Electric,Automatic,9/22/2021,"€ 26,535.89",Yes,"€ 1,272.00",Volksbank,"€ 99,253.00",No,5
PUR100055,Julia,20,Male,Berlin,Volkswagen,911,Diesel,Manual,3/31/2022,"€ 26,527.57",Yes,"€ 11,547.00",Commerzbank,"€ 85,177.00",No,3
PUR100056,Laura,33,Male,Munich,Volkswagen,Octavia,Diesel,Manual,2/15/2021,"€ 20,653.24",Yes,"€ 2,232.00",Commerzbank,"€ 114,389.00",No,5
PUR100058,Anna,58,Female,Cologne,Mercedes,911,Electric,Manual,11/7/2023,"€ 11,036.75",Yes,"€ 9,909.00",Deutsche Bank,"€ 61,652.00",No,2
PUR100059,Laura,66,Female,Hamburg,Porsche,Golf,Petrol,Automatic,2/7/2023,"€ 22,243.08",Yes,"€ 12,160.00",Deutsche Bank,"€ 89,046.00",No,3
PUR100060,Anna,18,Male,Cologne,Volkswagen,Passat,Electric,Manual,3/16/2024,"€ 37,491.06",Yes,"€ 9,248.00",Commerzbank,"€ 37,969.00",Yes,3
PUR100061,Tim,56,Male,Hamburg,BMW,X5,Petrol,Manual,5/3/2022,"€ 23,686.78",Yes,"€ 13,522.00",Commerzbank,"€ 56,421.00",Yes,3
PUR100062,Anna,62,Male,Munich,Volkswagen,Octavia,Petrol,Automatic,6/9/2022,"€ 16,444.99",Yes,"€ 7,120.00",Deutsche Bank,"€ 101,161.00",No,3
PUR100063,Laura,56,Male,Hamburg,Mercedes,911,Diesel,Manual,10/30/2022,"€ 15,326.60",No,"€ 9,407.00",Commerzbank,"€ 62,777.00",Yes,1
PUR100064,Anna,24,Female,Munich,Audi,Octavia,Diesel,Automatic,8/28/2022,"€ 23,612.34",No,"€ 13,155.00",Deutsche Bank,"€ 91,852.00",No,5
PUR100065,Tim,44,Female,Berlin,Audi,Golf,Electric,Automatic,12/16/2024,"€ 12,149.00",Yes,"€ 13,346.00",Commerzbank,"€ 66,377.00",No,5
PUR100066,Felix,42,Male,Frankfurt,BMW,Passat,Petrol,Automatic,9/28/2024,"€ 16,056.76",Yes,"€ 14,899.00",Deutsche Bank,"€ 49,869.00",Yes,4
PUR100067,Laura,68,Male,Cologne,Volkswagen,Octavia,Electric,Automatic,7/22/2024,"€ 12,862.74",No,"€ 4,674.00",Deutsche Bank,"€ 30,078.00",Yes,4
PUR100068,Lukas,66,Male,Berlin,Audi,X5,Diesel,Manual,2/7/2023,"€ 17,182.86",Yes,"€ 3,801.00",Volksbank,"€ 49,534.00",No,4
PUR100069,Julia,64,Male,Hamburg,BMW,X5,Diesel,Manual,12/29/2024,"€ 34,506.68",No,"€ 8,142.00",Volksbank,"€ 83,735.00",Yes,4
PUR100070,Anna,42,Male,Munich,Volkswagen,Insignia,Diesel,Automatic,11/2/2021,"€ 34,380.54",Yes,"€ 7,328.00",Commerzbank,"€ 50,600.00",No,3
PUR100071,Sophie,18,Female,Stuttgart,BMW,Passat,Diesel,Manual,7/19/2024,"€ 19,051.55",No,"€ 11,406.00",Commerzbank,"€ 40,717.00",No,2
PUR100072,Anna,53,Male,Berlin,Audi,Golf,Petrol,Manual,3/17/2021,"€ 26,836.98",Yes,"€ 5,102.00",Deutsche Bank,"€ 79,122.00",No,4
PUR100073,Laura,50,Male,Other,BMW,911,Diesel,Manual,3/11/2022,"€ 8,000.00",No,"€ 6,707.00",Deutsche Bank,"€ 48,970.00",No,3
PUR100074,Laura,23,Male,Frankfurt,Volkswagen,Passat,Petrol,Automatic,9/16/2023,"€ 30,100.73",Yes,"€ 8,469.00",Volksbank,"€ 81,478.00",No,5
PUR100075,Julia,34,Male,Other,Volkswagen,Insignia,Petrol,Manual,4/8/2022,"€ 36,463.62",Yes,"€ 3,537.00",Volksbank,"€ 109,233.00",No,5
PUR100076,Anna,56,Female,Hamburg,Porsche,Passat,Petrol,Manual,7/8/2023,"€ 27,844.01",No,"€ 2,560.00",Deutsche Bank,"€ 67,717.00",Yes,5
PUR100077,Anna,41,Female,Stuttgart,Volkswagen,Passat,Petrol,Automatic,1/19/2024,"€ 8,000.00",No,"€ 9,076.00",None,"€ 58,463.00",No,5
PUR100078,Sophie,19,Female,Berlin,BMW,X5,Diesel,Automatic,1/2/2023,"€ 8,000.00",Yes,"€ 9,834.00",Volksbank,"€ 58,388.00",No,4
PUR100079,Laura,48,Male,Munich,BMW,Passat,Petrol,Manual,7/15/2023,"€ 41,723.49",Yes,"€ 13,333.00",Volksbank,"€ 21,918.00",No,5
PUR100080,Julia,74,Male,Cologne,Volkswagen,A3,Petrol,Automatic,7/23/2021,"€ 29,159.99",No,"€ 1,991.00",Volksbank,"€ 62,171.00",No,4
PUR100081,Hans,51,Male,Munich,Mercedes,911,Electric,Manual,6/10/2023,"€ 28,769.84",Yes,"€ 5,526.00",Commerzbank,"€ 42,400.00",No,3
PUR100082,Sophie,54,Male,Cologne,Mercedes,Passat,Petrol,Manual,4/19/2024,"€ 25,723.29",Yes,"€ 3,598.00",Volksbank,"€ 106,795.00",Yes,5
PUR100083,Hans,65,Male,Berlin,BMW,Passat,Petrol,Automatic,2/18/2022,"€ 10,547.17",No,"€ 4,007.00",Deutsche Bank,"€ 79,093.00",Yes,4
PUR100084,Felix,41,Male,Berlin,BMW,X5,Electric,Manual,11/6/2023,"€ 46,440.36",No,"€ 12,377.00",None,"€ 30,719.00",Yes,4
PUR100085,Anna,33,Male,Cologne,Audi,Insignia,Diesel,Automatic,9/23/2021,"€ 21,900.97",Yes,"€ 3,878.00",Deutsche Bank,"€ 90,106.00",Yes,5
PUR100086,Anna,37,Male,Hamburg,Porsche,Golf,Electric,Manual,4/18/2023,"€ 15,942.12",No,"€ 11,816.00",Volksbank,"€ 104,568.00",No,3
PUR100087,Felix,74,Male,Stuttgart,Audi,Octavia,Petrol,Manual,12/23/2021,"€ 13,768.50",No,"€ 13,997.00",Commerzbank,"€ 73,882.00",No,5
PUR100088,Laura,39,Female,Berlin,Mercedes,A3,Petrol,Automatic,11/22/2021,"€ 41,986.22",Yes,"€ 11,469.00",None,"€ 41,319.00",No,3
PUR100089,Felix,42,Male,Munich,Porsche,Insignia,Petrol,Manual,9/16/2022,"€ 10,928.95",Yes,"€ 1,282.00",Deutsche Bank,"€ 108,329.00",Yes,4
PUR100090,Sophie,48,Male,Munich,Mercedes,911,Electric,Manual,10/14/2024,"€ 18,694.49",No,"€ 8,401.00",Commerzbank,"€ 72,348.00",Yes,3
PUR100091,Hans,58,Male,Munich,Mercedes,Passat,Electric,Manual,9/22/2024,"€ 10,133.87",No,"€ 4,190.00",Commerzbank,"€ 103,091.00",No,2
PUR100092,Anna,18,Male,Hamburg,Volkswagen,Passat,Diesel,Automatic,8/30/2021,"€ 8,651.04",No,"€ 5,640.00",Volksbank,"€ 44,265.00",No,4
PUR100093,Laura,59,Female,Berlin,BMW,C-Class,Petrol,Manual,6/27/2024,"€ 24,892.55",Yes,"€ 14,259.00",Deutsche Bank,"€ 58,866.00",Yes,2
PUR100094,Laura,22,Male,Berlin,Audi,A3,Diesel,Automatic,11/17/2023,"€ 37,568.39",Yes,"€ 5,476.00",Deutsche Bank,"€ 21,484.00",No,3
PUR100095,Hans,38,Male,Stuttgart,Volkswagen,C-Class,Diesel,Manual,8/20/2023,"€ 24,176.68",No,"€ 7,689.00",Commerzbank,"€ 108,510.00",No,5
PUR100096,Sophie,51,Male,Berlin,Audi,Insignia,Petrol,Manual,9/2/2023,"€ 19,232.15",Yes,"€ 14,196.00",Volksbank,"€ 105,292.00",Yes,3
PUR100097,Julia,28,Male,Berlin,Skoda,Insignia,Electric,Manual,12/21/2023,"€ 11,177.81",Yes,"€ 4,552.00",Commerzbank,"€ 69,608.00",Yes,4
PUR100098,Sophie,50,Male,Berlin,BMW,X5,Petrol,Manual,1/2/2023,"€ 23,352.79",No,"€ 5,367.00",Volksbank,"€ 40,678.00",No,2
PUR100099,Anna,60,Female,Stuttgart,Volkswagen,C-Class,Petrol,Manual,4/7/2022,"€ 22,599.58",No,"€ 5,406.00",Deutsche Bank,"€ 74,692.00",Yes,4
PUR100100,Anna,41,Male,Berlin,BMW,Passat,Petrol,Manual,12/27/2024,"€ 25,332.49",Yes,"€ 14,865.00",Deutsche Bank,"€ 115,525.00",Yes,4
PUR100101,Felix,45,Male,Frankfurt,BMW,Insignia,Petrol,Manual,7/21/2023,"€ 20,719.43",Yes,"€ 11,726.00",Volksbank,"€ 34,250.00",Yes,5
PUR100102,Felix,52,Female,Frankfurt,Volkswagen,Passat,Petrol,Manual,1/11/2022,"€ 13,047.11",Yes,"€ 8,307.00",Commerzbank,"€ 23,779.00",Yes,4
PUR100103,Sophie,44,Male,Berlin,Audi,Passat,Diesel,Automatic,1/20/2023,"€ 43,542.57",Yes,"€ 8,092.00",Commerzbank,"€ 111,109.00",Yes,5
PUR100104,Laura,58,Male,Frankfurt,Volkswagen,911,Petrol,Manual,4/23/2022,"€ 34,806.51",No,"€ 3,926.00",Deutsche Bank,"€ 102,864.00",No,4
PUR100105,Lukas,61,Male,Stuttgart,Opel,Passat,Diesel,Manual,5/26/2022,"€ 16,277.52",No,"€ 1,754.00",Commerzbank,"€ 92,996.00",Yes,5
PUR100106,Julia,50,Male,Berlin,Volkswagen,Passat,Diesel,Manual,4/19/2021,"€ 26,380.56",Yes,"€ 1,714.00",Deutsche Bank,"€ 50,777.00",No,2
PUR100107,Anna,40,Male,Frankfurt,BMW,Octavia,Diesel,Automatic,11/23/2021,"€ 36,674.63",Yes,"€ 10,314.00",Deutsche Bank,"€ 31,052.00",No,5
PUR100108,Hans,29,Male,Hamburg,Opel,Passat,Petrol,Manual,1/14/2021,"€ 30,447.90",Yes,"€ 8,617.00",Commerzbank,"€ 88,923.00",No,4
PUR100109,Anna,47,Female,Hamburg,Skoda,Golf,Petrol,Manual,10/30/2021,"€ 28,203.90",Yes,"€ 14,634.00",Commerzbank,"€ 60,709.00",Yes,3
PUR100110,Laura,56,Male,Frankfurt,Mercedes,Passat,Petrol,Automatic,1/22/2023,"€ 8,533.37",Yes,"€ 10,444.00",Volksbank,"€ 38,570.00",Yes,4
PUR100111,Laura,41,Male,Berlin,Volkswagen,Insignia,Petrol,Manual,6/13/2024,"€ 20,017.63",Yes,"€ 8,407.00",Volksbank,"€ 68,586.00",No,5
PUR100112,Hans,74,Male,Munich,BMW,Golf,Electric,Automatic,10/3/2023,"€ 9,180.95",Yes,"€ 2,817.00",Volksbank,"€ 37,463.00",Yes,3
PUR100113,Sophie,59,Male,Other,Porsche,X5,Petrol,Automatic,5/15/2021,"€ 15,179.73",No,"€ 13,900.00",Volksbank,"€ 109,528.00",No,4
PUR100114,Sophie,32,Male,Hamburg,Mercedes,X5,Petrol,Automatic,7/14/2023,"€ 13,082.25",Yes,"€ 14,980.00",Volksbank,"€ 93,147.00",Yes,4
PUR100115,Sophie,28,Female,Frankfurt,BMW,A3,Diesel,Manual,2/7/2021,"€ 33,187.05",Yes,"€ 13,097.00",Volksbank,"€ 51,968.00",No,4
PUR100116,Sophie,55,Male,Frankfurt,Mercedes,A3,Petrol,Manual,5/2/2024,"€ 32,764.43",Yes,"€ 10,917.00",Deutsche Bank,"€ 36,399.00",No,5
PUR100117,Julia,56,Female,Stuttgart,Volkswagen,Octavia,Petrol,Manual,4/30/2023,"€ 27,400.23",Yes,"€ 6,571.00",Volksbank,"€ 29,667.00",Yes,3
PUR100118,Sophie,19,Male,Stuttgart,Audi,Passat,Diesel,Manual,5/28/2024,"€ 16,410.35",Yes,"€ 1,916.00",Commerzbank,"€ 114,907.00",Yes,3
PUR100119,Anna,18,Male,Berlin,BMW,A3,Diesel,Manual,2/9/2024,"€ 20,411.40",No,"€ 9,069.00",Volksbank,"€ 70,743.00",Yes,4
PUR100120,Lukas,63,Female,Stuttgart,Volkswagen,Insignia,Electric,Manual,6/7/2021,"€ 25,096.96",Yes,"€ 10,861.00",Volksbank,"€ 76,436.00",No,4
PUR100121,Tim,45,Male,Berlin,Porsche,911,Petrol,Manual,11/7/2024,"€ 10,611.20",Yes,"€ 12,272.00",Commerzbank,"€ 26,800.00",No,4
PUR100122,Julia,63,Female,Frankfurt,Volkswagen,Passat,Diesel,Automatic,2/6/2022,"€ 37,833.49",Yes,"€ 8,180.00",Deutsche Bank,"€ 40,767.00",Yes,5
PUR100123,Hans,52,Male,Munich,Volkswagen,Octavia,Diesel,Automatic,9/8/2024,"€ 30,882.06",Yes,"€ 6,688.00",Deutsche Bank,"€ 72,988.00",Yes,5
PUR100124,Anna,26,Female,Stuttgart,Opel,Insignia,Petrol,Automatic,11/5/2022,"€ 26,771.04",Yes,"€ 12,557.00",Deutsche Bank,"€ 110,689.00",No,2
PUR100125,Sophie,47,Male,Frankfurt,Volkswagen,A3,Diesel,Automatic,3/27/2024,"€ 15,628.74",No,"€ 7,978.00",Commerzbank,"€ 56,049.00",No,3
PUR100126,Julia,47,Female,Stuttgart,Mercedes,C-Class,Petrol,Manual,9/24/2022,"€ 38,468.45",Yes,"€ 14,038.00",Deutsche Bank,"€ 85,390.00",Yes,5
PUR100127,Felix,47,Male,Berlin,Volkswagen,A3,Petrol,Manual,3/12/2023,"€ 30,455.30",No,"€ 6,941.00",Deutsche Bank,"€ 22,389.00",Yes,4
PUR100128,Felix,57,Female,Frankfurt,Mercedes,Golf,Petrol,Manual,2/16/2022,"€ 34,220.37",Yes,"€ 14,286.00",Commerzbank,"€ 53,761.00",Yes,4
PUR100129,Felix,62,Male,Stuttgart,Volkswagen,Insignia,Petrol,Manual,9/16/2024,"€ 22,985.91",No,"€ 10,542.00",Commerzbank,"€ 42,926.00",Yes,4
PUR100130,Laura,38,Female,Berlin,Volkswagen,A3,Hybrid,Manual,6/17/2021,"€ 40,074.53",Yes,"€ 9,143.00",Deutsche Bank,"€ 95,424.00",Yes,3
PUR100131,Sophie,66,Male,Frankfurt,Audi,Passat,Diesel,Manual,1/1/2022,"€ 31,270.03",Yes,"€ 13,710.00",Volksbank,"€ 44,632.00",No,5
PUR100132,Laura,45,Male,Munich,Mercedes,Golf,Petrol,Automatic,8/27/2023,"€ 13,327.66",Yes,"€ 9,037.00",Commerzbank,"€ 54,434.00",No,4
PUR100133,Julia,77,Female,Frankfurt,Porsche,Passat,Petrol,Manual,3/28/2022,"€ 12,131.31",Yes,"€ 5,443.00",Deutsche Bank,"€ 57,832.00",No,3
PUR100134,Julia,38,Female,Berlin,BMW,C-Class,Petrol,Automatic,8/3/2022,"€ 36,491.64",No,"€ 7,833.00",Deutsche Bank,"€ 65,740.00",Yes,5
PUR100135,Laura,45,Male,Munich,Audi,C-Class,Petrol,Manual,12/20/2022,"€ 27,682.98",Yes,"€ 5,301.00",Deutsche Bank,"€ 49,052.00",Yes,1
PUR100136,Felix,48,Male,Munich,Audi,Passat,Petrol,Automatic,3/2/2024,"€ 24,707.89",No,"€ 4,786.00",Commerzbank,"€ 64,259.00",Yes,3
PUR100137,Hans,29,Female,Cologne,Mercedes,Octavia,Diesel,Manual,9/20/2021,"€ 33,865.29",Yes,"€ 7,952.00",Deutsche Bank,"€ 97,393.00",No,4
PUR100138,Hans,63,Female,Hamburg,BMW,Insignia,Electric,Manual,10/17/2021,"€ 44,378.98",No,"€ 1,332.00",Deutsche Bank,"€ 84,672.00",Yes,4
PUR100139,Laura,19,Male,Berlin,Mercedes,X5,Diesel,Automatic,3/12/2023,"€ 9,194.40",Yes,"€ 3,736.00",Commerzbank,"€ 58,386.00",No,4
PUR100140,Julia,44,Male,Hamburg,BMW,C-Class,Diesel,Manual,7/16/2023,"€ 32,018.06",Yes,"€ 1,107.00",Volksbank,"€ 48,514.00",Yes,4
PUR100141,Anna,48,Female,Stuttgart,BMW,Insignia,Petrol,Manual,4/20/2022,"€ 20,762.79",No,"€ 4,876.00",Deutsche Bank,"€ 43,723.00",No,4
PUR100142,Felix,42,Male,Munich,Skoda,911,Petrol,Automatic,10/2/2022,"€ 33,015.07",Yes,"€ 7,805.00",Deutsche Bank,"€ 33,899.00",Yes,1
PUR100143,Felix,62,Female,Frankfurt,Mercedes,X5,Petrol,Manual,6/28/2022,"€ 23,459.12",Yes,"€ 13,030.00",Deutsche Bank,"€ 96,593.00",No,1
PUR100144,Lukas,40,Female,Frankfurt,Mercedes,C-Class,Petrol,Manual,6/28/2022,"€ 18,938.30",Yes,"€ 8,240.00",Volksbank,"€ 100,191.00",No,4
PUR100145,Lukas,45,Male,Munich,Mercedes,911,Electric,Manual,9/22/2024,"€ 24,515.95",Yes,"€ 6,826.00",Deutsche Bank,"€ 100,811.00",No,1
PUR100146,Anna,60,Male,Munich,Mercedes,A3,Diesel,Manual,3/9/2021,"€ 22,602.08",Yes,"€ 1,269.00",Volksbank,"€ 27,323.00",Yes,4
PUR100147,Hans,52,Female,Stuttgart,Volkswagen,Octavia,Petrol,Manual,2/24/2022,"€ 37,590.21",Yes,"€ 12,759.00",Deutsche Bank,"€ 77,157.00",No,1
PUR100148,Lukas,33,Male,Berlin,Volkswagen,Insignia,Electric,Manual,11/4/2022,"€ 20,718.37",Yes,"€ 14,324.00",None,"€ 78,109.00",No,3
PUR100149,Anna,63,Male,Berlin,Mercedes,X5,Petrol,Automatic,12/18/2022,"€ 34,291.97",Yes,"€ 11,025.00",Deutsche Bank,"€ 25,726.00",No,4
PUR100150,Tim,19,Female,Berlin,Audi,Golf,Petrol,Automatic,2/14/2021,"€ 33,190.44",Yes,"€ 3,353.00",Deutsche Bank,"€ 115,295.00",Yes,5
PUR100151,Hans,23,Female,Berlin,Mercedes,Insignia,Diesel,Automatic,9/22/2021,"€ 18,568.12",No,"€ 14,606.00",Deutsche Bank,"€ 74,060.00",No,5
PUR100153,Felix,19,Male,Berlin,Audi,Golf,Petrol,Automatic,12/18/2021,"€ 23,413.98",No,"€ 11,603.00",Deutsche Bank,"€ 82,481.00",No,5
